ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
24101,2722,865,555,416,325,561
24102,659,310,111,105,21,112
24104,1364,554,127,373,165,145
24105,179,56,18,0,65,40
24112,12195,3256,2117,2874,941,3007
24120,586,100,100,99,107,180
24121,4028,1484,609,802,435,698
24122,699,102,125,187,132,153
24124,1809,331,475,243,260,500
24127,1905,602,397,445,254,207
24128,885,390,71,238,123,63
24131,0,0,0,0,0,0
24132,120,0,49,0,71,0
24133,914,189,177,234,97,217
24134,2272,687,403,405,117,660
24136,1531,449,268,286,215,313
24137,1537,430,182,456,365,104
24138,789,226,143,132,77,211
24139,121,9,36,29,0,47
24141,11100,4418,2114,2419,823,1326
24142,885,94,269,408,51,63
24147,580,248,114,87,44,87
24148,3194,963,533,660,411,627
24149,1740,515,450,294,163,318
24150,525,185,19,162,135,24
24151,8156,3128,1304,1446,781,1497
24153,17922,6898,3024,3622,1409,2969
24161,166,73,46,22,25,0
24162,1226,179,181,206,177,483
24165,400,144,29,81,64,82
24167,76,21,16,0,0,39
24168,61,0,0,17,0,44
24171,3747,1394,483,697,497,676
24174,1487,244,362,126,188,567
24175,4240,1390,680,1054,357,759
24176,543,315,47,114,45,22
24179,8942,3149,1427,2186,776,1404
24184,1695,563,100,473,232,327
24185,533,63,65,255,40,110
24201,6937,2324,1300,1956,424,933
24202,6360,1418,1189,1433,812,1508
24210,6699,2691,1361,1289,492,866
24211,4793,2161,733,912,404,583
24216,643,183,159,130,38,133
24217,63,9,34,0,0,20
24219,4276,1582,1031,878,273,512
24220,467,141,226,31,69,0
24221,198,103,8,65,22,0
24224,1809,465,263,409,273,399
24225,744,258,207,140,63,76
24226,411,79,167,52,53,60
24228,2160,831,435,446,166,282
24230,2292,625,486,577,279,325
24236,1023,397,166,201,85,174
24237,180,23,19,109,22,7
24239,15,0,0,15,0,0
24243,719,147,146,135,86,205
24244,1900,555,436,301,268,340
24245,307,76,88,55,34,54
24246,76,76,0,0,0,0
24248,889,234,117,53,147,338
24250,427,67,147,56,86,71
24251,3419,989,773,659,454,544
24256,971,184,301,192,126,168
24258,519,135,72,71,136,105
24260,1272,365,169,161,320,257
24263,1705,585,282,373,204,261
24265,355,24,103,36,28,164
24266,3478,1107,707,758,381,525
24269,135,33,58,0,15,29
24270,255,64,26,30,104,31
24271,900,221,143,132,152,252
24272,80,17,17,41,5,0
24273,2480,679,394,769,350,288
24277,1694,440,475,391,180,208
24279,1571,315,405,396,210,245
24280,479,72,24,87,90,206
24281,1011,271,183,169,174,214
24282,155,53,52,2,34,14
24283,572,200,94,170,29,79
24290,824,213,160,163,70,218
24292,150,15,50,8,58,19
24293,3819,1631,671,896,393,228
24301,6300,1614,1378,1295,556,1457
24311,737,138,156,58,105,280
24312,787,270,156,100,113,148
24313,347,39,38,63,153,54
24314,496,155,96,70,99,76
24315,1215,250,155,457,63,290
24316,0,0,0,0,0,0
24317,1851,477,237,405,396,336
