ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
24171,4114,310,1704,1471,629
24174,1792,261,835,552,144
24175,4302,169,1257,1547,1329
24176,582,0,112,201,269
24179,9186,601,2923,3428,2234
24184,1872,75,766,707,324
24185,441,14,0,357,70
24201,7874,1115,2221,2580,1958
24202,6831,322,2986,2335,1188
24210,8465,930,2733,2311,2491
24211,5484,320,1442,1730,1992
24216,1219,253,388,432,146
24217,88,17,30,32,9
24219,6808,1139,1877,2684,1108
24220,628,29,170,346,83
24221,247,6,57,123,61
24224,2928,484,1148,1018,278
24225,1108,197,422,441,48
24226,766,87,298,325,56
24228,3227,419,1064,1232,512
24230,3828,774,1128,1254,672
24236,1490,229,539,373,349
24237,448,126,203,90,29
24239,63,16,47,0,0
24243,939,36,344,506,53
24244,3200,543,1124,1102,431
24245,449,66,152,203,28
24246,163,46,74,43,0
24248,1171,271,437,309,154
24250,643,148,278,196,21
24251,3825,271,1548,1196,810
24256,1877,385,864,512,116
24258,819,75,298,331,115
24260,2422,425,926,783,288
24263,2856,421,932,1082,421
24265,747,122,289,306,30
24266,4840,424,1988,1783,645
24269,261,98,115,48,0
24270,332,21,191,85,35
24271,1238,218,459,418,143
24272,177,20,116,40,1
24273,3101,503,951,1100,547
24277,4048,1048,1546,1176,278
24279,3184,763,1437,729,255
24280,536,45,195,194,102
24281,1195,152,460,386,197
24282,377,128,101,140,8
24283,1004,119,328,388,169
24290,1092,139,381,371,201
24292,170,19,113,26,12
24293,4781,652,1416,1548,1165
24301,7098,671,2436,2930,1061
24311,827,77,266,386,98
24312,1151,284,312,424,131
24313,399,44,254,74,27
24314,669,58,240,224,147
24315,2159,122,1126,669,242
24316,0,0,0,0,0
24317,2486,478,946,736,326
24318,248,24,119,80,25
24319,3356,311,1284,1086,675
24322,17,8,9,0,0
24323,487,44,150,230,63
24324,1405,31,429,739,206
24325,512,66,178,161,107
24326,388,28,136,137,87
24328,819,106,142,459,112
24330,1497,303,556,477,161
24333,8595,1478,2496,3112,1509
24340,2889,374,1016,831,668
24343,4485,555,2003,1218,709
24347,721,33,286,331,71
24348,2711,496,1189,668,358
24350,721,177,310,192,42
24351,69,23,20,26,0
24352,654,86,124,212,232
24354,7439,734,2815,2652,1238
24360,3128,218,1187,896,827
24361,2446,352,823,773,498
24363,708,76,173,306,153
24366,308,13,131,109,55
24368,3020,239,1323,994,464
24370,3042,485,1211,920,426
24374,468,9,241,149,69
24375,881,132,278,440,31
24377,239,9,150,80,0
24378,477,54,209,179,35
24380,1251,156,584,257,254
24381,1675,123,851,441,260
24382,6881,708,2563,2085,1525
24401,17782,1345,5237,5717,5483
24411,21,9,12,0,0
24412,144,0,0,59,85
24413,112,11,52,28,21
24415,0,0,0,0,0
24416,4087,664,1414,1185,824
24421,2317,203,1188,521,405
24422,2878,212,1189,1028,449
24426,6826,608,2892,2357,969
24430,2945,772,1519,573,81
24431,1320,199,680,268,173
24432,270,34,86,111,39
24433,45,8,37,0,0
24435,891,0,186,235,470
24437,850,79,447,223,101
24439,570,48,324,156,42
24440,1772,130,1031,526,85
24441,3190,167,1419,988,616
24442,77,2,47,9,19
24445,1277,122,428,556,171
24448,208,11,95,75,27
24450,6952,521,1630,1800,3001
24457,175,78,40,57,0
24458,117,2,57,23,35
24459,299,0,192,28,79
24460,517,12,315,152,38
24464,69,0,33,10,26
24465,427,46,139,131,111
24467,1321,46,496,121,658
24471,890,65,194,200,431
24472,990,85,665,87,153
24473,313,0,93,121,99
24474,241,20,113,79,29
24476,109,0,20,71,18
24477,5618,337,2276,1771,1234
24479,857,18,237,358,244
24482,2881,594,1240,599,448
24483,490,34,302,104,50
24484,316,10,152,108,46
24485,198,22,122,28,26
24486,1694,82,605,368,639
24487,229,0,154,21,54
24501,12181,1568,3715,4029,2869
24502,19040,1203,4071,6045,7721
24503,8481,340,1021,2042,5078
24504,4699,576,1502,1353,1268
24517,2714,271,1168,761,514
24520,1129,0,424,522,183
24521,4729,486,1565,1420,1258
24522,4596,358,1803,1405,1030
24523,10241,1065,3619,3173,2384
24526,718,13,191,366,148
24527,1590,110,626,612,242
24528,1674,298,709,456,211
24529,729,156,195,224,154
24530,405,47,160,141,57
24531,4870,793,1920,1438,719
24534,541,103,150,219,69
24536,124,0,43,19,62
24538,2811,328,1109,683,691
24539,60,12,8,40,0
24540,15198,1739,4808,5754,2897
24541,13985,1482,4618,4653,3232
24549,2179,180,676,1048,275
24550,4525,271,1724,1269,1261
24551,13733,425,2238,4223,6847
24553,1068,171,393,350,154
24554,1856,193,758,599,306
24555,1008,41,545,315,107
24556,1415,93,469,445,408
24557,4010,874,1534,1050,552
24558,3078,564,991,813,710
24562,429,48,253,79,49
24563,2650,365,1195,766,324
24565,435,110,184,76,65
24566,556,62,109,326,59
24569,478,62,171,106,139
24570,0,0,0,0,0
24571,1093,140,426,360,167
24572,8755,831,3372,2928,1624
24574,2104,224,797,406,677
24577,1791,231,833,510,217
24578,634,78,208,197,151
24579,421,37,305,62,17
24580,316,31,137,138,10
24581,0,0,0,0,0
24586,2550,264,1032,906,348
24588,5363,589,2008,1757,1009
24589,1437,214,549,453,221
24590,4770,532,1214,1560,1464
24592,6394,582,2286,2330,1196
24593,1401,145,314,585,357
24594,525,55,200,129,141
24595,96,0,38,26,32
24597,639,20,198,333,88
24598,986,137,389,314,146
24599,402,47,199,57,99
24601,0,0,0,0,0
24602,490,246,86,114,44
24603,442,171,91,161,19
24604,95,81,0,14,0
24605,3811,287,1371,1312,841
24606,64,0,28,0,36
24607,165,0,139,26,0
24609,3288,327,1016,1407,538
24612,67,0,46,9,12
24613,461,199,131,131,0
24614,3274,620,1125,1017,512
24620,1935,437,846,495,157
24622,270,54,119,94,3
24630,3637,400,1549,1133,555
24631,1376,303,495,432,146
24634,225,54,81,64,26
24635,1120,162,621,281,56
24637,1840,205,510,679,446
24639,1786,287,712,389,398
24641,2603,421,887,797,498
24646,383,65,232,86,0
24649,1763,276,749,583,155
24651,2803,241,964,1099,499
24656,1341,323,549,360,109
24657,303,102,135,33,33
37642,7823,480,3203,2768,1372
