ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
22473,1986,249,126,0,126,126,0,123,877,661,0,661,574,87,216,433,341,0,341,341,0,92,427,267,0,267,267,0,160
22476,147,33,33,0,33,33,0,0,73,73,0,73,73,0,0,29,29,0,29,29,0,0,12,12,0,12,12,0,0
22480,170,10,1,0,1,1,0,9,24,20,0,20,20,0,4,46,19,0,19,15,4,27,90,70,0,70,63,7,20
22482,1495,63,59,0,59,48,11,4,411,262,0,262,246,16,149,618,431,0,431,403,28,187,403,255,0,255,255,0,148
22485,13955,929,759,0,759,701,58,170,3608,2689,63,2626,2517,109,919,4383,3629,59,3570,3480,90,754,5035,4448,47,4401,4303,98,587
22488,310,23,23,0,23,8,15,0,109,96,0,96,96,0,13,158,123,0,123,94,29,35,20,11,0,11,11,0,9
22503,1707,234,53,0,53,53,0,181,580,490,0,490,221,269,90,465,362,0,362,362,0,103,428,332,0,332,326,6,96
22504,20,0,0,0,0,0,0,0,11,11,0,11,11,0,0,4,4,0,4,4,0,0,5,5,0,5,5,0,0
22508,7413,603,319,0,319,319,0,284,1905,1486,0,1486,1460,26,419,2747,1996,0,1996,1954,42,751,2158,1895,0,1895,1875,20,263
22509,46,0,0,0,0,0,0,0,10,10,0,10,10,0,0,36,27,0,27,27,0,9,0,0,0,0,0,0,0
22511,234,0,0,0,0,0,0,0,50,43,0,43,43,0,7,113,54,0,54,54,0,59,71,64,0,64,64,0,7
22514,1135,118,64,0,64,64,0,54,326,260,0,260,227,33,66,347,299,0,299,281,18,48,344,278,0,278,278,0,66
22520,3084,418,175,0,175,156,19,243,1099,951,0,951,733,218,148,936,817,0,817,679,138,119,631,517,0,517,472,45,114
22529,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,4,4,0,4,4,0,0
22534,1455,194,135,0,135,126,9,59,724,451,0,451,442,9,273,344,315,0,315,291,24,29,193,158,0,158,140,18,35
22535,169,21,21,0,21,21,0,0,69,45,0,45,45,0,24,31,31,0,31,31,0,0,48,48,0,48,48,0,0
22538,117,67,67,0,67,67,0,0,28,5,0,5,5,0,23,22,22,0,22,22,0,0,0,0,0,0,0,0,0
22539,783,45,0,0,0,0,0,45,133,93,0,93,53,40,40,236,182,0,182,182,0,54,369,265,0,265,265,0,104
22542,1031,83,83,0,83,83,0,0,520,458,0,458,458,0,62,265,210,0,210,184,26,55,163,74,0,74,61,13,89
22546,8498,430,221,0,221,203,18,209,3274,2783,0,2783,2738,45,491,2925,2534,8,2526,2520,6,391,1869,1576,19,1557,1520,37,293
22548,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72,52,52,0,52,52,0,0
22551,10531,1201,651,0,651,591,60,550,3319,2358,0,2358,2286,72,961,3278,2558,35,2523,2417,106,720,2733,2190,0,2190,2146,44,543
22553,8455,335,155,0,155,155,0,180,2065,1787,50,1737,1619,118,278,3301,2756,17,2739,2679,60,545,2754,2326,60,2266,2233,33,428
