ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
23958,1490,140,631,412,307,4
23959,707,30,153,422,102,0
23960,1253,113,639,313,188,4
23962,305,50,76,117,62,4
23963,57,16,34,7,0,4
23964,619,112,131,250,126,0
23966,862,41,185,315,321,0
23967,616,58,270,237,51,4
23968,246,51,29,68,98,2
23970,4032,453,1180,1234,1165,4
23974,3092,568,1494,734,296,4
23976,19,0,11,8,0,4
24011,384,6,21,28,329,2
24012,16230,1970,5915,5156,3189,4
24013,4248,704,2000,1051,493,4
24014,8365,659,2575,2236,2895,4
24015,8469,313,1811,2712,3633,0
24016,5131,740,1669,1354,1368,4
24017,12154,1627,5266,3308,1953,4
24018,19645,611,3374,5301,10359,2
24019,14411,527,3944,4743,5197,0
24020,42,0,0,0,42,2
24053,1559,365,638,426,130,4
24054,3426,455,1486,1194,291,4
24055,5655,1004,1611,2159,881,4
24058,94,23,28,43,0,4
24059,422,0,80,219,123,0
24060,19582,663,2756,2893,13270,2
24064,2673,118,858,993,704,0
24065,3454,191,1273,1148,842,0
24066,2446,274,982,701,489,4
24067,1235,26,425,531,253,0
24069,830,51,311,388,80,0
24070,987,61,368,368,190,0
24072,747,36,148,347,216,0
24073,16836,976,4190,5097,6573,0
24076,673,135,98,341,99,0
24077,398,0,127,101,170,2
24078,3577,385,1163,1110,919,4
24079,863,0,465,182,216,1
24082,249,27,73,77,72,4
24083,1402,3,284,550,565,0
24084,6134,524,2326,2157,1127,4
24085,1217,60,654,374,129,4
24086,50,0,20,23,7,0
24087,2097,354,753,635,355,4
24088,2056,384,828,488,356,4
24089,1777,304,784,623,66,4
24090,2612,90,986,850,686,0
24091,3804,214,1271,1321,998,0
24092,1947,97,844,621,385,4
24093,68,26,18,23,1,3
24095,2351,143,780,934,494,0
24101,3341,205,1325,1054,757,4
24102,749,87,190,158,314,2
24104,1584,42,614,479,449,0
24105,226,0,120,90,16,0
24112,14199,1930,4349,5151,2769,4
24120,680,63,336,178,103,4
24121,4779,348,1700,1504,1227,4
24122,899,92,475,257,75,4
24124,2193,199,827,832,335,4
24127,2202,158,1010,666,368,4
24128,1046,29,403,265,349,4
24131,0,0,0,0,0,2
24132,124,45,16,8,55,3
24133,997,184,335,373,105,4
24134,2663,265,783,1060,555,0
24136,1686,135,678,456,417,4
24137,1486,118,508,605,255,0
24138,1056,53,382,425,196,0
24139,142,27,47,68,0,4
24141,10702,691,2333,3241,4437,0
24142,11,0,0,11,0,0
24147,631,21,211,222,177,0
24148,4170,458,1402,1477,833,4
24149,2125,80,754,720,571,0
24150,538,53,22,349,114,0
24151,10124,1051,3704,3430,1939,4
24153,19075,1530,5289,6557,5699,0
24161,180,58,62,47,13,3
24162,1621,142,820,516,143,4
24165,655,78,288,251,38,4
24167,87,0,78,9,0,1
24168,120,75,28,17,0,3
24171,4114,310,1704,1471,629,4
24174,1792,261,835,552,144,4
24175,4302,169,1257,1547,1329,0
24176,582,0,112,201,269,0
24179,9186,601,2923,3428,2234,0
24184,1872,75,766,707,324,0
24185,441,14,0,357,70,0
